item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
416 PEITO DE PERU II (COM CATUPIRY),0013b51751b388932f915052f68664646b2ea76cce37a91a5aea6fd3e9ddb884,18734903822e7a5691b7146ffa7ad016c98255861eb80e87182f359f64c4c1d3,Tirú Pizza Na Pedra,Esfihas Salgadas,4,SAO PAULO
*** bife a cavalo ***,0013cc40589f27750c3aaf55a016c849cc9290641deabf0f24b3190c34e7fcc7,ab0ce7c345f7717f379c2080f8c3af975f0eeb7098f3f66b58acb63760a6ca37,Gouveia Restaurante,"Almoço por até R$ 22,90",20,SAO PAULO
Refrigerante de 2 litros,0014ebf1d3305ffb50bfff58dc21c49ce6cd5d497a9242873e6ce4b2b0267a06,2a4da801f011b245944e9eaa112d083a9456f97ec40607d7e008ced2591cc71e,Espetinho Dudu,Bebidas,9.9,PORTO ALEGRE
Coca Cola 2litros,00150bc11aeeaa3cdbdc1e27085b0f6c584c27e05f255e303898dcd12426f110,317e7e92155184d7e5827bc2e5f73a1bc855464e1107bf9299efaff32f5b4068,Santa Entrega,Refrigerantes,10.9,SAO PAULO
Croaburger Classico,0015724d5cf50c98c9630e8bccae1678bb5b9ad021c31bbdfd1a3230ccbac2c5,d96ee09abbace76078b5c9335574d270d05943c080cb56d1562913a0ad76fc40,Croasonho - Moema,CROASONHOS SALGADOS,16.9,SAO PAULO
Croque madame,00158bf641ef474165a0d9ffdc746aebf5bb9427bdf72f1e6299a6c2dfa3a156,7b3a84a2d21e3340f74eed15938f78d7f8316de48b9ae80bbe9cfc9fc9684567,Lapin Café Et Bistrot,Plats principaux,28,SAO PAULO
Coca-Cola Zero 2Lts,0015a4c8324be6aaf61c075d5d1e7af8e477fbb30a5f46efa6a024ddebcc8ddd,5199655cdf5d969e47cfb485c600c49be62284838d0db2f52bb8bbc06771ce6c,Porto Pizzas,Bebidas,10,PORTO ALEGRE
Vacio (320g in natura),0015fe7f1b4abe23cbef9feaeb21de06b4950228179a49fc415f1af6d5a8c768,852e70c244696317139f5683efd396e0e1891ed3f33cde221b8dd6afc709e9c3,Calle 54,Carnes,69,SAO PAULO
C8,00165c41613c058ad8783b5ea236dc7c1435dc98c23eb5c5b9abc816209ea838,bcc86b48100a743f9714eaa56f0f36d2c026b5016e306b6dddce4d03084f5e6a,O Dono Do Lanche,Lanches,14.9,SAO PAULO
SUPREMO ,0017080e488aa6c5cf7b21f9292c5918affe2156675f5f13e74ea5acc485551c,763002441aec46cda8ff58945927201fe916f82fdc36faf388072b8c3927a57a,Burguer Da Leste,Lanches,18,PORTO ALEGRE
FATAIER DE NOZES,001726493c2ae02ee24e7f20e3e08aadbb24be0ea78ef87b23dac3a675ff177e,79d4d480074997677572b9545c82008f4f992de94983ec86225012579de9067c,Stone On Bread,DOCES E SOBREMESAS,7.9,SAO PAULO
Frangalho *NOVIDADE,001732a2081379810abb3b25f8d4e8716aa2652fad3e62717baa2094446ca54e,3a8ede0cade6c35b66e7a912f3fca268f5c87459f860d8736db2f67f96e93826,A Batata Suiça Delivery,Da casa (serve bem 2 pessoas),39.99,SAO PAULO
Cerveja Longneck,00173ad5003fee09a08d9100ee3c9636856f25900f5e7e8116e6cecb5b3a61d8,1cc97fdebe50d9d5a1d059c0811d2603baa04be55a70d3665a1c30d3da7dc73d,Porto Sushi Lounge E Delivery,Bebidas,7.9,PORTO ALEGRE
536-lasanha ao molho 4 queijos,001750c394558ff89adf130cf6d2a17a80369565d0ab3c1b557dc9b775ea5a29,17aebd24b2225466e60a938b619bb405668189ffe8d12080a825bb58008bc429,Casa Nostra Bar E Restaurante,Massas,24.9,SAO PAULO
Arroz a Grega,00175d4686d93aa9cfec93c9a4e7c9d1f72316b4d41492387dc4599d123699bf,81d70f90fb50c016c366a8e31f37ff8bc0359403b00181869e57f0469272f47a,La Trattoria,ACOMPANHAMENTOS,18.6,SAO PAULO
Combo Hambúrguer Cheese Salada (Batata média 100g + Refrigerante lata),00179741778b5d8e74c2d6dd45855b542eaeedc7a96874766e26efe19310da41,e4c05dc3aaa23d44af446accc718fc7715d7f53d4e7b006ffbcbe8c1a4105dba,Habib's - Marechal Tito Ii,Promoções Especiais,17.9,SAO PAULO
"4 - Bife acebolado, arroz e feijão ",001802e4c96dd4ffd89900337c181a30fd0fe9908538b4677a8b11b1694e9ad5,d43fc67e1b8736ca69aaafaa4b0587b6c955e6836684346775c387f17e110891,Amo Ser Guloso Lanchonete,Refeições Rápidos,15,SAO PAULO
Cerveja long neck,0018728f9b977249a952dc0ba2e10212020bb5ba9ecfccddd2bbae27208b0d54,cc3251846390d80493ed87526866730e4f1674dcbae3571a9a67c8579c7f1379,Pastel Chef E Açai,Bebidas,8,SAO PAULO
Nhoque de batata,00188a14927642b444f1908c4a495044902d2e374e7a8cfbe378240f974f87e7,98fb52df3dff5741a3586f93064a016096082fcad79f408745224da0eb59a98b,Primo Pastifício - Pinheiros,Massas,23.99,SAO PAULO
02 salgados + 02 acompanhamentos ,0018c74d3b45e893acf0d283c60f09dd09a77607a8b98e48658a89347611be46,78d1c15ff7904b83e0bcf7c5ccc30e813ad512aec8526beb48aef7a2b6bdcefe,Arábia Iguatemi,Mais vendidos ,22.9,SAO PAULO
Cheese bacon,00191a7ce9fbd1df8a0716a5a7f777af7e7e2145ff1887b301ca177bfea6d7e4,b202a9ef80ddde897a245649f19ac46da95f5a3128f18a7e0fc1b32bd8eeb9ce,Deja Burguer E Porções,Hambúrgueres tradicionais,15.4,SAO PAULO
Yakissoba Vegetariana,0019474466133b3f427efa804bbcace4016b5504012f7c8617dbae316657afb5,90e50ca32c2de54b4b513047108224d61f3174efbf214873c5a28415ec545d11,Ki Marmita,Yakissoba,15,SAO PAULO
Taco Crocante (14 cm),00198b2aa318b0860ae3bf0aa2ac778c189a0f28e5a4b92f10e37c0077fa4cd9,7c89db04be09098e37b4df7f0470f47cfdf513fa8d39d9a7250f711849c4ef1c,Los Sombreros Mex-tex & Paleteria,DESCONTO 30%,10.9,SAO PAULO
"PROMOÇÃO DE COCA COLA 1 LITRO (Por Tempo Limitado) 5,50",0019c749b02260c613a0fde47b268811972b104eb75565ec8d8345841d37c6fc,9377333bf403c9a01387f917fce2702aa17cf75f9a74e1a496c7da5e4676a62e,Rainha Da Batata,PROMOÇOES DA SEMANA ,5.5,SAO PAULO
AÇAI BABY 1 - 100% ORGÂNICO,0019cd2fc7dbfbb1dcbd8a535d77fb28f77267b4eab7d61e633bc3f63e48dff8,0d25bf02989cc506c47957b1e90cac22981e80d86d7bb2ad64e3995273105445,Kingdom Açai,Açaí 100% Orgânico,15,SAO PAULO
suco de laranja 80%,0019d4f500980748231a0bac2d6ec47875cd0a8b7d59428b93e56bf9c8fc5e5a,cccf685679aa145d103690ba1485bb2735a2d7141a8f326ed4a6d1b68f39fc93,La Cantina Restaurante & Pizzaria,Bebidas,13.9,SAO PAULO
1942 - picanha brasileira,001a018fa6adefb28d666eeeb6f6de97d33aae7387d5b08faf924b1f4fa686e7,0f15c1562eae5d9955c4639541713c8d2c670a0dac97b207a3893fa7d4458cb7,Padaria Flor De Coimbra,Almoço ,29.9,SAO PAULO
Caldo de Abobora com Calabresa,001a07f8ac2e9d70d65210c8e92de251a0809603b1890d26fd8e14a1e4417136,5dff70e283632fed60d2c6622658206ff35724303e09ce0a3fb545ef7a65eb50,Empório Manjericão,Caldos,11.9,SAO PAULO
Frango ranch - 15cm - irresistível do dia,001a1d219c40541158d913455e8063b8bd94582103067636b147f82f4ac62193,6f446e6847b3d31462f4f698ed9b136fdd3a16ba761ab3d41f2e594ef95f79cb,Subway - Shopping Praia De Belas,Sanduíches 15cm,10,PORTO ALEGRE
Niguirizushi de Skin - 6 unidades,001a3833e9ada186448e98562662f05c1d46e789844f9329f83f0b5a8c528190,5ce79a3269fab4d78650f6594953477c62877c928a0dec1846a48747d1c07bd6,Express Sushi,Niguirizushis,21.99,SAO PAULO
Salada grega (sem glúten| low carb),001a4c8f24c6c2daa7672927cbba8fc02d0c09f4b2c8e4dec691c09c960dfa7f,527a3e6a7124a63ca4d86e7f780a7008e93e7604eb127c0fd210abe5085cedd8,Koskina,Saladas,35,SAO PAULO
Guaraná Antártica lata 350ml,001a4d552bca6b040557391410f54d7c5464a958cc4bb0982954ef2adc967e7c,359c9f2fb2ce71675f2a08a7d6effe11f4765b50f017fc726fb5349b39dd9177,Point Do Açai Emalucca,Bebidas ,4,SAO PAULO
Refrigerantes lata 350ml,001a62cb715b60a6df41f4c372716a45dbff5fa293bbde88046995acd166673f,4abe9e574f4cd4dbbee19f005ec3db285e603e0f04257232a8b96882fc26cab9,Ma&ni Comida Caseira,Bebidas,5,SAO PAULO
Pizza  grande 1/2 frango catupiry e 1/2 portuguesa + 1 guarana 2 litros,001a6c73af22738d09ead3b763172bdc85092ee70f4f72802e8be7781880fdd2,e38234b9333b810fba94833b6263f8c2bc827aebea470cf8f49af1c9beb1e4d8,Pizzaria Nova Oriente,Promoção ,41,SAO PAULO
228 - fogazza doce de leite,001acdc6460fe67c6132eef793ea58b72959ea63c5120eb3b526879d546b347e,b1baa89e95b6b320eeca5e936ba075bacb3fadb18035655ef5cfe9935954a312,Pizzaria Di Sanches,Fogazzas doces,12,SAO PAULO
X-Frango,001b5a01b92db401b67d2954c574f7ee2f1b47f4f9e721408af07b97245c9c34,471c3ea324361f8337e2aa724e6291da3ddfaac9370300346f82de073c7bf61e,Mundo Burguer Artesanal,Hambúrgueres,7.5,RECIFE
Farol Cheddar,001b5eea404649c764742f24db8dc1b65f64c1b70bfe319a1cfb85fd222c56a1,840bb5874db1aa9a319c1a6eb3ce25998c475556caa14c28142f07dab18e9935,Farol Burguer's,Burgers Especiais,11.5,SAO PAULO
X- salada,001b6a36d173a8380f69a77cbe441bc3abcd1482c770a222fd21478966e00d75,177695b653b2f7f2f2135fcff31732c5442961f33eaa834e13e810dfffdbad40,Varandas Churrascaria E Pizzaria,Lanches,10,SAO PAULO
Suco DO BEM: Melão com Hortelã 400ml,001b805553f7b6f6f183b59a00162305e380dc1f2cb6ad4aacb2d2a34b79239b,1682f09e7517d533d24da084a5f00d6395477a3b9cc819a9c04f4d97b770583b,Torta & Horta,Bebidas,7,SAO PAULO
Promoção Pizza Casadinha (2 Pizzas),001b9248ea5782ba17989dd3f05c4ebe4c0920f124b895345d2068298bbb4d05,4135535618ad3196e707e11c000410446ed0f646259706433de3b97c7b1886f5,Habib's - Afonso Braz,Promoções Especiais,39.9,SAO PAULO
Promoção picanha billy jack,001bf4478b6a2df1ad2edf6f3030667dc9c277c5d48d662e05b8239906fa2608,ed06059e6648e4ce02cac3137dd9ae8529e0f40cfcfc52043f1553d82b9d20c4,Hamburgueria Itu,Promoções ,49,SAO PAULO
Omelete de presunto e queijo,001da092cbff63faba20b8b81b80d85652b26d5cc67a6b7cd4d0a1be438460ca,53e1ffeecf6c81b4509d0c4d18be126b48301554e4ffe5daaf55ef91bc3e3164,Casa Da Rosa,Pratos caseiros,23.9,SAO PAULO
Beirute de picanha swift- serve 2 pessoas- (650 gramas),001dfad34d5870514ab175c77f226f52f56cbfc64fe51cdf2b43bd17d07a4517,0e407485b096de31785d41ee5469df46a310a0c307660b9a930f645dc8a536bc,Alaliha,Beirutes,29.9,SAO PAULO
Dog 2,001e830557e1500d0c6a67bf70bf4675c7a618667c44ba39c622d69e4ce2ba87,4c266b2637821863102545fd52071090150ab39409244037e1cb81f3598cec98,Hot  Dog Nos Trilhos,Dogs prensados,10,SAO PAULO
Dog simples 2,001e830557e1500d0c6a67bf70bf4675c7a618667c44ba39c622d69e4ce2ba87,4c266b2637821863102545fd52071090150ab39409244037e1cb81f3598cec98,Hot  Dog Nos Trilhos,Dogs prensados,10,SAO PAULO
Katz Smoke,001e8d22c8c1b7dadbe5a3d8cb0a10fd2919706a133d022f6871c32c42d8ee59,c1c65e6c1b944c6c820a6506c7264059c24b20d2bf341fce70baa597c2151d7c,Katz Burger House,Burgers tradicionais,26.95,SAO PAULO
Picanha burguer egg bacon salada + picanha burguer salada - promoção  quinta-feira,001e9c045ac4e4da95c008b2b66d57113453db82ec797b56d4d38bb02a73f4ea,4be2358990c138ddf5e79397f1a805fe646964272201a75d299cbeae86523f0c,Esfiharia E Pizzaria Victoriana,Lanches especiais,33.9,SAO PAULO
Combo Billionaire + batata + bebida,001ea3717aa922ce9ba4c23238fabb460d86f5aa7faabfc6a8fddb78d655e02b,60a096647a83e1fcdffbda3ee449004547551ee5626fc563549a4370171d9d13,Underground Hamburgers,COMBOS,34,SAO PAULO
ESFIHA DE CALABRESA,001f8bcd9359cec1f9aa580e3f9c132e3c25c635d27ef5070476661ce3b527c4,2884b569dba40cdde7c635154aaa2448f7fa2f88013d9d549c5b82bf1af5cdb3,Da Vinci Restaurante Pizzaria,Esfihas,2,SAO PAULO
Austrália com Batata 150gr,001f8d13a3c8fa6f2a5a8eb97f30bbb30d2bf78c0b303903e6be03ab1a59a013,fd2dd542c6bc6fb10882704f6a0c96e6f431aaab6cd4db0a5d1cb45f0ed60a05,Nine Burguer,Combos Batata e Bebida,35.9,SAO PAULO
TORTELLONI VALEGGIO (Recheado com carne assada),001fd5e22d2d1cac07640c13efd5d27026c6917e52cbf6de808f7689aa122c00,533d600cb8d1c90d1b5963f53906035492ce0b1e00c17a1da9e250a1bd49ca74,Piola - Jardins,PASTE,49,SAO PAULO
"Refrigerante 1,5 litros",00207b8f5dcaa2b4e9d7ce918cb75933004724ec2f0d5bbc1fd88cf39893f10c,4876f230007f63221c7e8483f835ce715af15ac550631884b41556853dcff017,Batata Casa Helfstein,Bebidas,12,SAO PAULO
"Refrigerante 2,5 litros",00207b8f5dcaa2b4e9d7ce918cb75933004724ec2f0d5bbc1fd88cf39893f10c,4876f230007f63221c7e8483f835ce715af15ac550631884b41556853dcff017,Batata Casa Helfstein,Bebidas,12,SAO PAULO
Mini - kit  01,0020d28e69bd36100edd33231920b6905b9c30c25036b742b0fbd5e583dd7a9e,061010f8408e0f0d18e085f3b2dff6866301e4b960b6df68558191673e584de4,Coxinha E Cia Delivery,Kits diários,37.99,SAO PAULO
Arroz de forno ,002101e37a6da133806972ca9df18874562d60ea75ca31ebeb2b25928b944cd2,20bf20cc46d9005f5a5e1ade2c65bbcd565342a11d4552818fabc5acffeb3140,Restaurante Sabor De Minas 2,(SRS CLIENTES TODAS MARMITAS SÃO INDIVIDUAIS),23,SAO PAULO
2 beirute de frango + refrigerante 1lt,002105b306114e61eea0056008aeab621364f45ac0a534830ab4ffe4c6a2eae3,dca51b1772305b0e0915aa85e24259c86bc8639e547167a4ff50fcc618cc5973,Expresso Burguer,Promoção  imperdível! aproveite,37.99,RECIFE
04 - burger vegano,002150f82040037f4a83b2726abbbd8e48b199880d6c8bf6603fcae70f4263ac,0e9a029d495dbd314c46607e88dd985b817b2b1bb7a68b536681375bbe7a04db,Pugg Hot Dog Gourmet,Hambúrgueres ,21.9,PORTO ALEGRE
CERVEJA LATA,00219356bbadfe17fdbe508c8c38ee142cdff2509c9f3d90420f91afdefd2420,621f57b8cc5d383cb2a6401b98dc2b77a09c526680e23fa7f7ad54670ed8828b,Pizzeria Focus,BEBIDAS,5,SAO PAULO
St. edamame,00219a28cb6b8bdfdb5b5a93e45558c11ae094fbddecb3515e746491db75dde9,b745a732bba21164f5ca8e8a160945094b66d846889ad490c7c0de4b1a77fc4c,Town Sandwich Co,Porções,17,SAO PAULO
Filé de Peixe à Milanesa Meia Porção,0021dedf1b7775b674f1e7bb30e645cc0bd5f72ff288964f2049df103f3b1739,6d0591992e3b0ca9f4efe9e2b641dc277d2ad124ebe8d71da6cc468acc571c8d,Churrascaria E Pizzaria Charrete,Peixes,30,SAO PAULO
07. fit burger,0021f707685def434763e34f4a90bc3a8fbac50897744aa2254223f768dc2b21,0ef6792e612c0cd7a1157d528d143a1df7a9b8ccf0b513797cc9855b13258a7a,South Burger,Hambúrgueres ,26.9,PORTO ALEGRE
kibe DOCE com nozes ( doce vegano ) ,002288809862c97d88927ec93196022ac17c959d950feccfa30a7e877ec85a82,318cd4f25aeebb8ad807575d6406fcfb3506838150d79a6bd1d75de4d3ef4486,Olá Kebabs E Burgers,ponto de arabe,7.9,SAO PAULO
Brigadeiro de batata doce - 25g,0022924af3ec9a6287f50186b3effa6ab9cf80105955f0d62fc5d9bb991d3ae5,0fd70c7f2baf8298c6d301f389d56f4ceb52ade9f9ac6ccc918066d36974dd7b,Fiqfit Gourmet,Sobremesas,4.5,SAO PAULO
FRANGO A PASSARINHO+BATATA(FAMILIA),002379d658dc534e1971d8af9f9fee9660f6c5093a8cf622cb3c00b96c4a5054,ad6b49a29d52fb15dd0b90e18cabb04e6aa2857634c7e4c7e5c441b5d4b843c2,Cantina Do Sabor,porções na caixa de pizza,50,SAO PAULO
Soda 600 Ml,0024074e40b9c2c462dbc39abf8eb6bf4705d386488804a74b1880a3ee88e964,145e9ab5e625811f56611737608de7d4c6e555c03a4a2bb50d362333131cd65c,Restaurante Rapa Do Tacho,REFRIGERANTES,7,SAO PAULO
SHEEP DO DIA - CHICKEN KRISPY,00241ea3634be106167df7b2052d518ef1daff18736137cd97b0384c153d70ff,705c2572520965a451c2823824000afe7447666cad99442f89f480cf6f9a8471,Sheep Kebab,PROMOÇÕES SHEEP,13,PORTO ALEGRE
AGUA S/GÁS,002420933595d4206e18c10880550ab5a64fb99e3b9e02ce31725da6dfc10ef6,aedb4648b81c6eca2bc502b9d80cb1f7a36fe36cd3d59f8781b65f97d8d9e999,Casa México Sp,BEBIDAS ,4.1,SAO PAULO
Tilápia La Belle,0024488483eec78125857e4e1e80249d14125960ed5caae395a8e8a849c8b45c,9c193e41ed393aefaf48c696db760380de58ebec2b43931990198ae8662f2699,Donatário - Shopping Plaza,Pescados,35,RECIFE
Fogazza calabresa com provolone,0024a7cda0ed5591e9f66e25254026d9a16ff0a474090206992efe4b4d6f7e27,a3f20c3175e2156c503d4eb09dbbe36bd7be120950e05cb3421f2416283f73a2,Hani Esfiharia - Ipiranga,Fogazzas,8.5,SAO PAULO
X nissan + refri + batata ou nuggets,0025007bf62a13434433313ea180391022e4c3422e03c2c83feb2d2ac3df31c1,7a988cbc01844114824e02927b1f9dcad7b8fe656bc2922b14d90e0632e3b6f2,Glorioso Burguer,Combos lanches com 2 hambúrgueres,16,SAO PAULO
Esfiha de Carne,002522725437f70df7c57a9da5baeedbb7b1ac6394ba6a390139d26c008167e3,20af988635b023486ea71b2ab2c02c0cbaded23bf49e82ba24a2c9f4ecec7983,Pizzaria & Esfiharia Express,Esfihas,1.9,SAO PAULO
Lasanha de Carne ,002547d27272771d8ba34dd12a3c311ec832d59448146f813862c66be7d272c8,a845e935c75172c81e97f3bf76d2ed697306f59aa77e39701cc320754e528088,Cadu Refeições,Quinta-feira,15,RECIFE
Mineirinho,0025740d9a577dc7cd436e2c50ec3c3a214a1092dda2cc49078c4908db3544b9,bcb6c828af25a59acbd40bcdcaa69071454e99dbae74c727e90608746e37f0bf,Que Pankeka Santana,Promoção do Mês,36.99,SAO PAULO
Fogazza de bacon com mussarela,0025b8e3652b7b490b1be6c64dce6782573d41ccb797a2948d4abf2bd5d3dfe1,e55bec9da385f61e0ec7c8d3d602072d9b8553bf36b9f1a7cf26e4abc847cb29,Fogazza Crazy Delivery,Fogazzas salgadas Grande  Aprox  20cm,14,SAO PAULO
FRANGO EMPANADO,0025bb6d297a281c40ae2d0ea4e360083c5d35a74c60b1c8ec12692d03fb16ea,a5fd1c068d9cae4d386dac4cf85640877e845192df5f881d4ef1663e11e9cc03,Dinny,PRATOS EXECUTIVOS,25.9,RECIFE
Strogonoff de carne,002646404a0760ece9baff3e765391a9071fb5928107ae05570fd8fb1b7b8e22,0e81c440b69a89670d6d62626607d293a80af29f2a458693189a0cbe636cd6a8,Ligia Refeições Tatuapé,Pratos do dia,21,SAO PAULO
Bolo de pote sabor bem casado (250ml)(und),00264db39f09c423ad23dc75af6cf75928fd8d386914943dc5fbe9153dc743e4,d08144ee4306e6bf595f636c8eae906da7c15b46f53442822668440addd7dac9,Tati Duarte Doceria E Cake Designer,Doces,7,RECIFE
Alho,0026fc5bff8deaf669f814bc5ec53353521a37ecc99af5ed25fdccec51b129da,5727b6d58150b19649b45ed74446bfe2c952ef4141fbfde23d221f41e683b0f2,Domino's Pizza - Pinheiros,EXTRA PARA PIZZA,3.9,SAO PAULO
Burger picanha,00270d2c898fc4e7d6e9de61c226347090b8587a45e645ec86ee2bcad15ed9e6,318cd4f25aeebb8ad807575d6406fcfb3506838150d79a6bd1d75de4d3ef4486,Olá Kebabs E Burgers,hamburger  ARTESANAIS ,26.9,SAO PAULO
Esfiha bacon,00274f097775645974506acd2942480b34bb6abe036c69f149ecd3e16eed4cd7,509afa7ffa6aa57b220c638accb996e28fc25499d0d8d6b5dffe5affd5017d0e,Esfiharia Zio Pasquale,Esfihas tradicionais ,6.9,SAO PAULO
10 Esfihas aberta de Carne,0028caa28493e61d39cc3f384250718a10e0d3e48c345a119f8f4e64af5d4861,67900fa81410714eb6e71248e82ab2e71dd15320992e41a29adb20fa99f21c27,Saj - Pinheiros,"PROMOÇÃO! Compre 05, leve 10!",35,SAO PAULO
Provolone,0028d24a15c7bcdd1fd0f62c750aefc21432443947652b3d8af166f057409dea,d082873bfbca994986a979e8099f4eee3ef78d196473b4a2aface03be41dee3e,Pizzaria Esfharia Dom Jossepe,Esfihas Salgadas ,2.7,SAO PAULO
Salpicão 350g,0028debf25c0a408d33d0dfe9c04155a2742c8282fa9d466ce77d8ffd948aaad,9630bad7b053d35a119ecd90097899a9aa8c2913272eaf4a2c35196e8b509f45,Senhor Frango - Vila Guilherme,Da Cozinha,10,SAO PAULO
Triplo X-Bacon +Refri e fritas,0028fbbaf9979ce2aea0c20bd34de4b23ec095c65646cdee14b96b4b1ee49d4d,9ed58f49cde622c89c3b626d16169637abd51295a00f0e6414db21fc27850ef2,Gorillaz Burger E Refeições,Combo Lanche+refri+fritas,25,SAO PAULO
Guiozá (6 unidades),002908a9b129686f663f59cf0711bf097f3fb6cd5f964ac383c9e6fc8be01cea,d63fd645c99ab07cb18f7b3f670fe18228593b0a96cab63ef429c3dd3ad400fe,Matsuya - Aclimação,Entradas,16,SAO PAULO
1042 - batata frita - 2 pessoas,00293ff528a8b8b6c486bfe83a61b883829c9465ae6c215d0a51b5864cd2c3b3,8fe95fbcd55b9da609a7efc6725fc2cf4168ec66fa604de2d66dac58f071bef4,Restaurante Feijão De Corda,Petiscos,18,SAO PAULO
PROMOÇÃO  ( Frango á Milanesa ),0029bfb2bebbdf728abcf13c7c2d9ec43b42cd3e59b3197725e21d330700da81,6db8e60b6e5c48711deab96c20c1366091954e209e1d96c2fda890a5f7c6ae65,Comida Caseira,Promoções ,12,SAO PAULO
Kit com 60 salgados sortidos,0029cbc515220c797c9015746714e40dda941a077d3bb110286d048f4f8a7868,77f0172c99c1ffafa7e9b9140d73eae68b8ef3cec52baefee3c3725ee0cb714d,D'lisboa, Kit de Salgados,30,RECIFE
Heineken 330ml,0029e96094e7bfaebdcea4e77ab4c6ed9570adbfa8a9ca1abd602495a9818c52,d9a7c566cc021617cd5bf92e1f79cff627fd2c718e60b918bc520cdcb0e4a2f1,King Meat Burger's,Bebidas alcoólicas,6.5,SAO PAULO
Coca-Cola Zero Lata ,0029f4801cc292515e7307f4c06dfcaee6932662fb8eae0ec3812be764d5175e,d627c86fc40dc203d2c70ff2103eec7464c8d7e0ccf3e89114197887493849e4,Mcdonald's - Taquarichim,Bebida,7.9,SAO PAULO
Pastel de chester,002a02d8f439bf6b6456cab8ddf37223f38b830f6d1b24c732d99e920c275b52,ce8290e598f7299b786899b12c023497b885d7359a6417545dd092ed6aeaca57,Cenoura Pasteis - Zona Sul,Pastéis especiais,7.5,PORTO ALEGRE
"Pizzas salgadas, GRANDE - 8 PEDAÇOS, MASSA TRADICIONAL, AMERICANA 2 ",002abccc471c6582b84251c2b472c6f8630b312a1bf83736b426edd73ea85bb1,b6eb6875c86d2a26d8b62cf68fd6a52d31a664ac7d71b4708a0e0e6df62c493c,Pizzaria E Lanchonete Zeppoli,Fominha de até 50% de Desconto,17.5,SAO PAULO
Arroz Chaufa de Mariscos,002b109f5243909031a7d98ce19bdc7ae896045ccdf19629dbc04fed4bf00dd3,c0cad2f4659f12f3cb8fb620d5798de44233f987c9cf6b1a4922dac8a9851c87,Rinconcito Peruano,Pratos,46.9,SAO PAULO
Fogazza 4 queijos,002b26c146af8aea2b62d497da8cee1ff7d0bcf09a6628ba191fe7b2bd762fc3,bc2bc6cea07d94637941a10ef20a8bf801211944df804286566a029963c66dd7,Pizzaria Alvorada,Fogazza Assada ,13,SAO PAULO
Coca Cola zero 350ml,002b66465b6e147d60f9a289bbfd110ab580356e1313dba14ac49be40ea7bb3c,6b9c3ed83fedad5856063c9661629147190b14a459414cd1f2c95f5c3223a84b,Hamburgueria Tradi,Bebidas,6.11,SAO PAULO
Silvestre - 400ml,002ba80b4867c8368aa5022a1607fb19d50ff2c51c3a126999cb2983ca5adf93,6240ce38e0ffd068cdd82cb095fd37c6367a088f97963a2ebef1ae8b51924605,Livraria Pça Casa Forte Café Restaurante,Bebidas,7,RECIFE
 Pão de Alho com Queijo,002bba1e471c6c8a9528d44cd073f8609b346c4b78bb256bb4e1bf8d99691c0b,2fde85b50935257067d4614d02c7251faef6203eafe902da905e9858ad027a31,Espeto Clube Butanta,Espetinhos Especiais e Variados ,6.25,SAO PAULO
Espeto de Pão de Alho com Queijo,002bba1e471c6c8a9528d44cd073f8609b346c4b78bb256bb4e1bf8d99691c0b,2fde85b50935257067d4614d02c7251faef6203eafe902da905e9858ad027a31,Espeto Clube Butanta,Espetinhos Especiais e Variados ,6.25,SAO PAULO
Tapioca chocolate com granulado,002be68bb1b6969a9f537d79dbf32d259d62b1414e8c659e0259d49ae404d663,40b814fbb9daf2897f812225745238fa01ba8bd8539d960a9ca8c2ba612a6357,Imbuias 1,Tapiocas doces!,7,SAO PAULO
Tapioca chocolate com granulado,002be68bb1b6969a9f537d79dbf32d259d62b1414e8c659e0259d49ae404d663,40b814fbb9daf2897f812225745238fa01ba8bd8539d960a9ca8c2ba612a6357,Imbuias 1,Tapiocas doces!,6.5,SAO PAULO
Paradise burguer + Fritas,002bfa9645137ad4c4433cfacc96aaab011940133ce15c95b4f7eb7424d7f00c,6ab9886dee96a1dd71f74fb246f5d24a3b301cb7ba1b0b96522840520c4c409a,Sunroad Açai & Burguer,Promoção,25.9,SAO PAULO
Tapioca de frango com catupiry,002c0a3177e5f27001fe4ee0f5d7478fe53100862dc0826b062ba11b0fb81d04,5fe6ac98a3f0c525506784a7f94843c47897db54843fdc8197861f63049996a8,Eats Cafeteria E Açaiteria,Tapiocas,7.9,RECIFE
Pastel de Nutella com Banana,002c1082a15945528976c1c853ef865237b76d1a1885a68b1fa0a14ccf0e9a66,c759410c52c6d0fe3a420a59a8723870b5af71f4ca3c4227472a28c188f350e6,Pastéis & Burguers,Pastéis doces,10,SAO PAULO
Porção de picadão feiticeiro,002d319e7d87b7fb6649922a02331b3c1f668901a0607a07b2aed250f89e30e6,bdce9b8bef29abca311c8304f46f03ed8e3455af4de96223738c500e98000f15,Feiticeiro Lanches,Porções,66.5,PORTO ALEGRE
CONVENÇAO GUARANÁ 2L,002d672942a87e25867fe5302d2ca9cc6aabd77fb23c37ab3ea6618267a4d16a,0d27fc51dc554049f08154ed070022d113f5c5653a3d2ffb23ff5b09842cd843,Dudis Pizza,Bebidas,6.7,SAO PAULO
Mousse de chocolate,002db10aaf981ecc2a6999481398404bd659b578d9a6852cd37420eb568dd2da,f6eb44509c0a5f38e32d76903c53e10f541ea25800e0654b8c334bf72a6e0fc2,Big Lanches (vila Constança),Sobremesas,6,SAO PAULO
